id,name,country,primaryRole,image_url
unk_t_jamtsho,T Jamtsho,Bhutan,Batsman,
unk_namgay_thinley,Namgay Thinley,Bhutan,Fast Bowler,
unk_rm_dorji,RM Dorji,Bhutan,Batsman,
unk_t_wangchuk,T Wangchuk,Bhutan,Fast Bowler,
unk_s_yeshi,S Yeshi,Bhutan,Fast Bowler,
unk_tenjin_rabgey,Tenjin Rabgey,Bhutan,Batsman,
unk_gk_ghalley,GK Ghalley,Bhutan,Batsman,
unk_s_pradhan,S Pradhan,Bhutan,Fast Bowler,
unk_j_singye,J Singye,Bhutan,Batsman,
unk_tshering_tashi,Tshering Tashi,Bhutan,WK-Bat,
unk_s_loday,S Loday,Bhutan,Batsman,
unk_karma_dorji,Karma Dorji,Bhutan,Batsman,
unk_n_chejay,N Chejay,Bhutan,Batsman,
unk_tashi_phuntsho,Tashi Phuntsho,Bhutan,Batsman,
unk_tashi_dorji,Tashi Dorji,Bhutan,Batsman,
unk_manoj_adhikari,Manoj Adhikari,Bhutan,WK-Bat,
unk_ngawang_thinley,Ngawang Thinley,Bhutan,Batsman,
unk_jn_dorji,JN Dorji,Bhutan,Batsman,
unk_s_chophel,S Chophel,Bhutan,Batsman,
unk_a_mongar,A Mongar,Bhutan,Batsman,
unk_d_dawa,D Dawa,Bhutan,Batsman,