id,name,country,primaryRole,image_url
unk_s_hook,S Hook,Estonia,Batsman,
unk_ali_masood,Ali Masood,Estonia,Batsman,
unk_arslan_amjad,Arslan Amjad,Estonia,Batsman,
unk_habib_khan,Habib Khan,Estonia,Fast Bowler,
unk_sahil_chauhan,Sahil Chauhan,Estonia,Batsman,
unk_k_vislapuu,K Vislapuu,Estonia,Batsman,
unk_bilal_masud,Bilal Masud,Estonia,Batsman,
unk_m_vaik,M Vaik,Estonia,Batsman,
unk_a_paul,A Paul,Estonia,Batsman,
unk_s_gooch,S Gooch,Estonia,Batsman,
unk_p_gheewala,P Gheewala,Estonia,Batsman,
unk_d_robson,D Robson,Estonia,Batsman,
unk_maidul_islam,Maidul Islam,Estonia,Batsman,
unk_mmr_obili,MMR Obili,Estonia,Batsman,
unk_elias_hasan,Elias Hasan,Estonia,Batsman,
unk_r_baruah,R Baruah,Estonia,Batsman,
unk_aditya_panwar,Aditya Panwar,Estonia,Batsman,
unk_r_sekaran,R Sekaran,Estonia,Batsman,
unk_zeeshan_ali,Zeeshan Ali,Estonia,Batsman,
unk_muhammad_usman_2,Muhammad Usman,Estonia,Batsman,